101 First Words,Hinkler,Hardback,,,
A Christmas Manger ,H.A. Rey,Paperback,Nana & Papa Dansby,,
A Day in the Life of Marlon Bundo,Marlon Bundo & Jill Twiss,Hardback,Mom & Dad,,
A Fly Went By ,Mike McClintock,Hardback,Nana & Papa Dansby,,
A House for Hermit Crab,Eric Carle ,Board,Mom & Dad,,
A Peek-and-Find Adventure with Oscar Otter ,Maurice Pledger ,Hardback,Nana & Papa Dansby,,
A Treasury of Curious George 8 Stories,Margrety & H.A. Rey,Hardback ,Debbie & Becky Orf ,,
A-B-C What Henry Can Be!,Dewing & Jack ,Hardback,Grandma & Papa Orf ,,
ABCs of Space,Chris Ferrie & Julia Kregenow,Board,,,
Aerospace Engineering!,Ruth Spiro,Board ,Grandma & Papa Orf ,,
Alice in Wonderland,Jennifer Adams ,Board,Mom & Dad,,
All the little fathers,Margaret Wise Brown,Hardback,Great Aunt Kathy,,
ALPHA BLOCK,Franceschelli & Peskimo,Board,,,
Alphabet Zoo,Flying Frog,Board,,,
Anatomy for babies ,Baby 101 Science,Board,Mom,,
Andrew Drew and Drew,Barney Saltzberg,Hardback,Pete Huisenga,,
Are You My Mother?,P.D. Eastman,Board ,Great Aunt Kathy,,
Are You My Mother?,P.D. Eastman,Board,"Sean, Ying & Grayson",,
Babies Love Halloween,Babies Love ,Lift-a-Flap,Mom & Dad,,
Baby Animals Take a Nap,Marsha Diane Arnold ,Board ,,,
Baby Babble ,Kate Merritt,Indestructibles,Mom & Dad,,
Baby Face A Book of Love for Baby,Cynthia Rylant ,Hardback,,,
Baby Sign Language made easy,Iane Rebelo,Paperback,Mom,,
Baby Touch and Feel: Baby Animals,DK,Board ,Great Aunt Kathy,,
Baby Touch and Feel: Farm ,DK,Board ,Great Aunt Kathy,,
"Baby, Let’s Eat!",Stephan Lomp,Indestructibles,Mom,,
Bathtime Mathtime,Danica McKellar,Board,,,
Bear Stays Up for Christmas,Karma Wilson & Jane Chapman,Board,Nana & Papa Dansby,,
Beautiful Oops,Barney Saltzberg,Hardback,Pete Huisenga,,
Big Words for little geniuses,Susan & James Patterson,Hardback,Mom & Dad,,
Birds,Gabrielson & Robbins,Paperback,Dad,,
Boo! A Book of Spooky Surprises,Tiger Tales ,Board,Mom & Dad,,
Bottoms Up!,Yusuke Yonezu,Board,,,
Chicka Chicka Boom Boom,Bill Martin Jr. & John Archambault,Board,,,
Chicken Little,Nicola Evans,Hardback,,,
Chomp goes the Alligator ,Van Fleet,Hardback  ,Mom & Dad,,
Clifford Takes a Trip ,Norman Bridwell,Hardback,,,
Curious George Goes to a Chocolate Factory,Margrety & H.A. Rey,Hardback ,"Wade, Lauren, Wyatt, & Scout",,
Daddy Hugs,Karen Katz,Board,Great Aunt Kathy,,
Dear Zoo,Rod Campbell,Board,Mom & Dad,,
Die bunte Baustelle Wo ist der Unterschied? ,Nasty Holtfreter,Hardback,Mom & Dad,,
Dinosaur Tails,Anne Wilkinson,Cloth Book,Mom & Dad,,
Dinosaurs,Gaffney,Paperback,Dad,,
Dinosaurs,Jill McDonald ,Board,,,
Doggies,Sandra Boynton,Board,Mom & Dad,,
Don’t Push The Button!,Bill Cotter,Board,Grandma & Papa Orf ,,
Dragons Love Tacos,Adam Rubin,Hardback,Chad & Laurie Niernberg,,
Dragons Love Tacos,Adam Rubin ,Board ,Chad & Laurie Niernberg,,
Everyone Poops,Taro Gomi,Paperback,Brian Choi,,
Experimenting with Babies 50 Amazing Science Projects You Can Perform on Your Kid,Shaun Gallagher,Paperback,,,
Farm: Pull out and play books,Really Decent Books,Board,Great Aunt Kathy,,
Firehouse Co. No. 1,Peter Lippman,Board,,,
First 100 machines ,Bright Baby ,Hardback,"Wade, Lauren, Wyatt, & Scout",,
Fishing ,Fichter & Francis,Paperback,Dad,,
Fishy Tails,Anne Wilkinson,Cloth Book,,,
"Flip, Flap, Fly",Phyllis Root,Board,Mom & Dad,,
Forest Animals ,Barrons,Cloth Book,,,
Fox in Socks,Dr. Seuss,Hardback,,,
Fox in the Forest ,Lorna Domke,Paperback ,Nana & Papa Dansby,,
Fuzzy Fuzzy Fuzzy,Sandra Boynton,Board,Mom ,,
General Relativity for babies,Chris Ferrie,Board ,Grandma & Papa Orf ,,
Go the Fuck to Sleep,Adam Mansbach,Hardback,Chad & Laurie Niernberg,,
"Go, Dog. Go!",P.D. Eastman,Hardback,,,
God Bless You & Good Night,Hannah C. Hall,Hardback,,,
Good Night Brew,Ann E. Briated,Hardback,,,
Good Night Gorilla ,Peggy Rathmann,Board,,,
Good Night Hoot,Rowena Blyth,Board ,,,
Good Night Krampus,Derek Sullivan & Kyle Sullivan,Board,Mom & Dad,,
Good Night Lab,Chris Ferrie,Hardback,Laura (Lola) Brown,,
Good Night Missouri,Adam Gamble & Mark Jasper,Board,Nana & Papa Dansby,,
Good Night Moon,Margaret Wise Brown,Hardback,"Shane, Katie & Khloe",,
Good Night Seattle,Joe Veno,Board,Deborah Vossler,,
"Goodnight, Goodnight Construction Site ",Rinker & Lichtenheld,Board/Sound,Mom ,,
Green Eggs and Ham,Dr. Seuss,Hardback,,,
Happy Giddy,David Kirk ,Board,Nana & Papa Dansby,,
HARRY the Dirty Dog,Zion & Graham ,Board,Mike & Laura Ness,,
Have you ever tickled a tiger?,Betsy Snyder,Board,"Ben, Carrie & Laine ",,
"Hello, Red Fox",Eric Carle ,Board ,Mom & Dad,,
Henry & Leo ,Pamela Zagarenski,Hardback,Grandma & Papa Orf ,,
